ID_NUM,IND_ACCDA,IND_ACCIV,TOTAL_MU30DF,TOTAL_HG30DF,TOTAL_HL30DF,FECHA_ACCIDENTE,HORA_ACCIDENTE,MES_1F,ANYO,CCAA_1F,PROVINCIA_1F,COD_MUNICIPIO,CARRETERA,KM,SENTIDO_1F,TIPO_VIA_3F,TITULARIDAD_VIA_2F,TIPO_ANIMAL_1F,TIPO_ANIMAL_2F
202444266191,1,0,0,0,0,4/8/2024,20:30,8,2024,2,44,00000,A-1401,"27,8",1,2,2,5,1
202444266192,1,0,0,0,0,7/8/2024,6:45,8,2024,2,44,00000,PISTA MINE,"10,6",1,2,4,5,1
202444266193,1,0,0,0,0,17/10/2024,6:40,10,2024,2,44,00000,A-1401,20,2,2,2,5,1
202444266194,1,0,0,0,0,27/7/2024,4:00,7,2024,2,44,00000,N-232,182,2,2,1,17,1
202444266195,1,0,0,0,0,13/10/2024,23:05,10,2024,2,44,00000,N-232,185,2,2,1,8,1
202444266196,1,0,0,0,0,24/10/2024,6:10,10,2024,2,44,00000,N-232,"176,216",2,2,1,24,2
202444266197,1,0,0,0,0,21/11/2024,20:15,11,2024,2,44,00000,N-232,"184,45",1,2,1,8,1
202444266198,1,0,0,0,0,9/12/2024,19:20,12,2024,2,44,00000,N-232,186,1,2,1,8,1
202444266199,1,0,0,0,0,24/6/2024,8:45,6,2024,2,44,00000,N-234,"210,5",2,2,1,5,1
202444266200,1,0,0,0,0,15/7/2024,23:00,7,2024,2,44,00000,N-234,"210,5",2,2,1,8,1
202444266201,1,0,0,0,0,18/7/2024,20:30,7,2024,2,44,00000,N-234,208,2,2,1,5,1
202444266202,1,0,0,0,0,28/7/2024,6:40,7,2024,2,44,00000,N-234,208,1,2,1,5,1
202444266203,1,0,0,0,0,15/11/2024,17:00,11,2024,2,44,00000,N-234,"207,4",1,2,1,5,1
202444266204,1,0,0,0,0,29/3/2024,20:30,3,2024,2,44,00000,N-211,"126,454",1,2,1,8,1
202444266205,1,0,0,0,0,18/5/2024,23:30,5,2024,2,44,00000,N-211,135,1,2,1,8,1
202444266206,1,0,0,0,0,1/6/2024,4:50,6,2024,2,44,00000,N-211,"129,5",1,2,1,5,1
202444266207,1,0,0,0,0,10/6/2024,22:30,6,2024,2,44,00000,N-211,"128,7",2,2,1,5,1
202444266208,1,0,0,0,0,2/8/2024,22:00,8,2024,2,44,00000,N-211,"126,2",1,2,1,5,1
202444266209,1,0,0,0,0,3/8/2024,22:45,8,2024,2,44,00000,N-211,"128,4",2,2,1,5,1
202444266210,1,0,0,0,0,15/8/2024,23:40,8,2024,2,44,00000,N-211,"128,5",1,2,1,5,1
202444266211,1,0,0,0,0,25/8/2024,6:45,8,2024,2,44,00000,N-211,129,2,2,1,5,1
202444266212,1,0,0,0,0,3/10/2024,20:20,10,2024,2,44,00000,N-211,"125,6",1,2,1,8,1
202444266213,1,0,0,0,0,26/11/2024,7:30,11,2024,2,44,00000,N-211,"129,8",2,2,1,5,1
202444266214,1,0,0,0,0,5/12/2024,21:45,12,2024,2,44,00000,N-211,125,2,2,1,8,1
202444266215,1,0,0,0,0,1/9/2024,21:10,9,2024,2,44,00000,A-2511,22,2,2,2,5,1
202444266216,1,0,0,0,0,3/11/2024,21:30,11,2024,2,44,00000,A-2412,"3,601",1,2,2,8,1
202444266217,1,0,0,0,0,4/6/2024,6:15,6,2024,2,44,00000,N-232,"107,485",2,2,1,5,1
202444266218,1,0,0,0,0,17/4/2024,8:00,4,2024,2,44,00000,A-1507,"19,273",2,2,2,5,1
202444266219,1,0,0,0,0,8/6/2024,3:15,6,2024,2,44,00000,A-1507,18,1,2,2,5,1
202444266220,1,0,0,0,0,19/12/2024,8:00,12,2024,2,44,00000,A-1507,19,1,2,2,5,1
202444266221,1,0,0,0,0,27/4/2024,23:15,4,2024,2,44,00000,TE-V-8215,"5,1",2,2,2,8,1
202444266222,1,0,0,0,0,6/3/2024,18:50,3,2024,2,44,00000,A-1513,"23,8",1,2,2,5,1
202444266223,1,0,0,0,0,8/4/2024,22:30,4,2024,2,44,00000,A-1513,21,2,2,2,5,1
202444266224,1,0,0,0,0,3/6/2024,7:20,6,2024,2,44,00000,A-1513,"17,9",1,2,2,5,1
202444266225,1,0,0,0,0,26/6/2024,15:45,6,2024,2,44,00000,A-1513,"22,3",2,2,2,5,1
202444266226,1,0,0,0,0,8/8/2024,18:50,8,2024,2,44,00000,A-1513,"23,5",2,2,2,5,1
202444266227,1,0,0,0,0,20/2/2024,20:00,2,2024,2,44,00000,A-1512,27,1,2,2,5,1
